problem,std_term_i,std_term_j,leg_term_i,leg_term_j,corr_std,corr_leg
Heat,u^2,u^5u_xxxxxx,P2(u),P5(u)u_xxxxxx,-0.9541,0.9437
Heat,u^2,u^6u_xxxxxx,P2(u),P6(u)u_xxxxxx,-0.7797,-0.1726
Heat,u^3,u^4,P3(u),P4(u),0.8119,0.2055
Heat,u^3,u^5,P3(u),P5(u),0.9823,-0.8425
Heat,u^3,u^6,P3(u),P6(u),0.8282,-0.1618
Heat,u^3,u_x,P3(u),P0(u)u_x,-0.0029,-0.0023
Heat,u^3,uu_x,P3(u),P1(u)u_x,-0.0029,0.006
Heat,u^3,u^2u_x,P3(u),P2(u)u_x,-0.0044,0.0026
Heat,u^3,u^3u_x,P3(u),P3(u)u_x,-0.0052,-0.0052
Heat,u^3,u^4u_x,P3(u),P4(u)u_x,-0.0066,-0.0009
Heat,u^3,u^5u_x,P3(u),P5(u)u_x,-0.0066,0.0035
Heat,u^3,u^6u_x,P3(u),P6(u)u_x,-0.0091,-0.0028
Heat,u^3,u_xx,P3(u),P0(u)u_xx,-0.5605,0.5322
Heat,u^3,uu_xx,P3(u),P1(u)u_xx,-0.2897,0.0352
Heat,u^3,u^2u_xx,P3(u),P2(u)u_xx,-0.9666,0.9323
Heat,u^3,u^3u_xx,P3(u),P3(u)u_xx,-0.7308,0.2511
Heat,u^3,u^4u_xx,P3(u),P4(u)u_xx,-0.9899,-0.9722
Heat,u^3,u^5u_xx,P3(u),P5(u)u_xx,-0.793,-0.2196
Heat,u^3,u^6u_xx,P3(u),P6(u)u_xx,-0.963,0.5861
Heat,u^3,u_xxx,P3(u),P0(u)u_xxx,-0.0399,-0.0324
Heat,u^3,uu_xxx,P3(u),P1(u)u_xxx,-0.1002,0.0134
Heat,u^3,u^2u_xxx,P3(u),P2(u)u_xxx,-0.1436,0.0676
Heat,u^3,u^3u_xxx,P3(u),P3(u)u_xxx,-0.1471,0.0137
Heat,u^3,u^4u_xxx,P3(u),P4(u)u_xxx,-0.1535,-0.0723
Heat,u^3,u^5u_xxx,P3(u),P5(u)u_xxx,-0.1304,-0.039
Heat,u^3,u^6u_xxx,P3(u),P6(u)u_xxx,-0.1161,0.0233
Heat,u^3,u_xxxx,P3(u),P0(u)u_xxxx,0.0474,-0.0378
Heat,u^3,uu_xxxx,P3(u),P1(u)u_xxxx,0.0196,-0.0016
Heat,u^3,u^2u_xxxx,P3(u),P2(u)u_xxxx,0.948,-0.957
Heat,u^3,u^3u_xxxx,P3(u),P3(u)u_xxxx,0.7382,-0.2145
Heat,u^3,u^4u_xxxx,P3(u),P4(u)u_xxxx,0.9874,0.9591
Heat,u^3,u^5u_xxxx,P3(u),P5(u)u_xxxx,0.7957,0.205
Heat,u^3,u^6u_xxxx,P3(u),P6(u)u_xxxx,0.9631,-0.4929
Heat,u^3,u_xxxxx,P3(u),P0(u)u_xxxxx,0.009,0.0076
Heat,u^3,uu_xxxxx,P3(u),P1(u)u_xxxxx,0.0215,-0.0031
Heat,u^3,u^2u_xxxxx,P3(u),P2(u)u_xxxxx,0.0311,-0.0121
Heat,u^3,u^3u_xxxxx,P3(u),P3(u)u_xxxxx,0.0339,-0.0081
Heat,u^3,u^4u_xxxxx,P3(u),P4(u)u_xxxxx,0.032,0.0082
Heat,u^3,u^5u_xxxxx,P3(u),P5(u)u_xxxxx,0.0289,0.0063
Heat,u^3,u^6u_xxxxx,P3(u),P6(u)u_xxxxx,0.0274,-0.0047
Heat,u^3,u_xxxxxx,P3(u),P0(u)u_xxxxxx,-0.0072,0.0055
Heat,u^3,uu_xxxxxx,P3(u),P1(u)u_xxxxxx,-0.0123,0.0063
Heat,u^3,u^2u_xxxxxx,P3(u),P2(u)u_xxxxxx,-0.9448,0.9534
Heat,u^3,u^3u_xxxxxx,P3(u),P3(u)u_xxxxxx,-0.7367,0.2099
Heat,u^3,u^4u_xxxxxx,P3(u),P4(u)u_xxxxxx,-0.9856,-0.9551
Heat,u^3,u^5u_xxxxxx,P3(u),P5(u)u_xxxxxx,-0.7938,-0.2035
Heat,u^3,u^6u_xxxxxx,P3(u),P6(u)u_xxxxxx,-0.9608,0.484
Heat,u^4,u^5,P4(u),P5(u),0.8709,-0.2136
Heat,u^4,u^6,P4(u),P6(u),0.9857,-0.9399
Heat,u^4,u_x,P4(u),P0(u)u_x,-0.0024,-0.005
Heat,u^4,uu_x,P4(u),P1(u)u_x,-0.0054,0.0011
Heat,u^4,u^2u_x,P4(u),P2(u)u_x,-0.0059,0.0086
Heat,u^4,u^3u_x,P4(u),P3(u)u_x,-0.0073,-0.0005
Heat,u^4,u^4u_x,P4(u),P4(u)u_x,-0.008,-0.0139
Heat,u^4,u^5u_x,P4(u),P5(u)u_x,-0.0096,0.0019
Heat,u^4,u^6u_x,P4(u),P6(u)u_x,-0.0099,0.0114
Heat,u^4,u_xx,P4(u),P0(u)u_xx,-0.286,-0.1092
Heat,u^4,uu_xx,P4(u),P1(u)u_xx,-0.63,0.6798
Heat,u^4,u^2u_xx,P4(u),P2(u)u_xx,-0.6853,0.2244
Heat,u^4,u^3u_xx,P4(u),P3(u)u_xx,-0.9781,0.9304
Heat,u^4,u^4u_xx,P4(u),P4(u)u_xx,-0.8107,-0.223
Heat,u^4,u^5u_xx,P4(u),P5(u)u_xx,-0.9872,-0.9726
Heat,u^4,u^6u_xx,P4(u),P6(u)u_xx,-0.8586,0.19
Heat,u^4,u_xxx,P4(u),P0(u)u_xxx,-0.0557,0.0335
Heat,u^4,uu_xxx,P4(u),P1(u)u_xxx,-0.1493,0.1003
Heat,u^4,u^2u_xxx,P4(u),P2(u)u_xxx,-0.1656,0.0045
Heat,u^4,u^3u_xxx,P4(u),P3(u)u_xxx,-0.1901,-0.0593
Heat,u^4,u^4u_xxx,P4(u),P4(u)u_xxx,-0.1737,-0.0262
Heat,u^4,u^5u_xxx,P4(u),P5(u)u_xxx,-0.1609,-0.0083
Heat,u^4,u^6u_xxx,P4(u),P6(u)u_xxx,-0.1307,0.0023
Heat,u^4,u_xxxx,P4(u),P0(u)u_xxxx,0.012,0.0293
Heat,u^4,uu_xxxx,P4(u),P1(u)u_xxxx,0.0733,-0.0699
Heat,u^4,u^2u_xxxx,P4(u),P2(u)u_xxxx,0.6681,-0.1884
Heat,u^4,u^3u_xxxx,P4(u),P3(u)u_xxxx,0.9662,-0.9498
Heat,u^4,u^4u_xxxx,P4(u),P4(u)u_xxxx,0.8055,0.2154
Heat,u^4,u^5u_xxxx,P4(u),P5(u)u_xxxx,0.9827,0.9707
Heat,u^4,u^6u_xxxx,P4(u),P6(u)u_xxxx,0.856,-0.161
Heat,u^4,u_xxxxx,P4(u),P0(u)u_xxxxx,0.0121,-0.0052
Heat,u^4,uu_xxxxx,P4(u),P1(u)u_xxxxx,0.0321,-0.0155
Heat,u^4,u^2u_xxxxx,P4(u),P2(u)u_xxxxx,0.0371,-0.0081
