problem,D,P,algorithm,task,term,true_value,estimated,rel_error_pct,variance,pip,is_true_term
Heat,6,3,VB_Alg1,Drift,u^3u_xx,,0.110061,,0.046091508700485395,1.0,False
Heat,6,3,VB_Alg1,Drift,u^2u_xxx,,0.436994,,0.024585670256484258,1.0,False
Heat,6,3,VB_Alg1,Drift,u^3u_xxx,,-0.335888,,0.02537366021233965,0.9999999999999998,False
Heat,6,3,VB_Alg1,Drift,u_xxxx,,0.007957,,8.31349281130437e-05,1.0,False
Heat,6,3,VB_Alg1,Drift,uu_xxxx,,0.002932,,0.00025850227385163427,1.0,False
Heat,6,3,VB_Alg1,Drift,u^2u_xxxx,,-0.033052,,0.0013751603469163009,1.0,False
Heat,6,3,VB_Alg1,Drift,u^3u_xxxx,,0.025338,,0.001213978392951191,1.0,False
Heat,6,3,VB_Alg1,Drift,u^2u_xxxxx,,0.010765,,3.355530133816254e-05,0.9999999953029459,False
Heat,6,3,VB_Alg1,Drift,u^3u_xxxxx,,-0.011838,,3.5928045698935805e-05,0.9999999992122686,False
Heat,6,3,VB_Alg1,Drift,u_xxxxxx,,0.000162,,5.648933876143794e-08,0.9999999999999998,False
Heat,6,3,VB_Alg1,Drift,uu_xxxxxx,,0.000102,,2.469812115821872e-07,1.0,False
Heat,6,3,VB_Alg1,Drift,u^2u_xxxxxx,,-0.000822,,7.676531473080669e-07,1.0,False
Heat,6,3,VB_Alg1,Drift,u^3u_xxxxxx,,0.000746,,8.354153837413272e-07,1.0,False
Heat,6,3,SINDy,Diffusion,1,1.0,0.97866,-2.1,,,True
Heat,6,3,VB_Alg1,Diffusion,1,1.0,0.967155,-3.3,2.880698793958401e-06,1.0,True
Heat,6,3,VB_Alg1,Diffusion,u,,0.002533,,2.066624514573694e-05,1.0,False
Heat,6,3,VB_Alg1,Diffusion,u^2,,-0.006441,,8.264891320556573e-05,1.0,False
Heat,6,3,VB_Alg1,Diffusion,u^3,,0.008935,,8.604546947704454e-05,1.0,False
Heat,6,3,VB_Alg1,Diffusion,uu_x,,0.007569,,0.0001954655640719541,0.9999997161618526,False
Heat,6,3,VB_Alg1,Diffusion,u^2u_x,,-0.01923,,0.0001862375634254972,0.9999997112404929,False
Heat,6,3,VB_Alg1,Diffusion,u^3u_x,,0.031571,,0.0007722793144830381,0.999999999999682,False
Heat,6,3,VB_Alg1,Diffusion,uu_xx,,-0.000778,,0.0001623589817149051,1.0,False
Heat,6,3,VB_Alg1,Diffusion,u^2u_xx,,0.003226,,0.00020292351342470494,1.0,False
Heat,6,3,VB_Alg1,Diffusion,u^3u_xx,,-0.012731,,0.0004084480517435127,1.0,False
Heat,6,3,VB_Alg1,Diffusion,uu_xxx,,0.017583,,0.00011804729695792493,1.0,False
Heat,6,3,VB_Alg1,Diffusion,u^2u_xxx,,-0.011428,,0.00010778631393024133,0.999999993737581,False
Heat,6,3,VB_Alg1,Diffusion,u^3u_xxx,,0.005503,,0.0003172310337827638,0.9999999996143574,False
Heat,6,3,VB_Alg1,Diffusion,u_xxxx,,0.00018,,2.0110488355832672e-07,0.9999999865759532,False
Heat,6,3,VB_Alg1,Diffusion,uu_xxxx,,0.004563,,3.3609240631216433e-06,1.0,False
Heat,6,3,VB_Alg1,Diffusion,u^2u_xxxx,,1.1e-05,,3.137413955127361e-06,1.0,False
Heat,6,3,VB_Alg1,Diffusion,u^3u_xxxx,,-0.003025,,9.086620806186168e-06,1.0,False
Heat,6,3,VB_Alg1,Diffusion,uu_xxxxx,,0.000821,,1.5308389665254973e-07,1.0,False
Heat,6,3,VB_Alg1,Diffusion,u^2u_xxxxx,,-0.000284,,1.4338476799132182e-07,0.9943331349267334,False
Heat,6,3,VB_Alg1,Diffusion,u^3u_xxxxx,,-0.000181,,4.0488321406495067e-07,0.9999923738888884,False
Heat,6,3,VB_Alg1,Diffusion,u_xxxxxx,,4e-06,,1.61730316240225e-10,0.9999999857777715,False
Heat,6,3,VB_Alg1,Diffusion,uu_xxxxxx,,0.000109,,2.0076040956823927e-09,1.0,False
Heat,6,3,VB_Alg1,Diffusion,u^2u_xxxxxx,,5e-06,,2.104886512228682e-09,1.0,False
Heat,6,3,VB_Alg1,Diffusion,u^3u_xxxxxx,,-7.9e-05,,5.297927219563607e-09,1.0,False
Heat,3,3,SINDy,Drift,u_xx,1.0,1.009129,0.9,,,True
Heat,3,3,VB_Alg2,Drift,1,,-0.000761,,7.425070921611896e-06,1.0,False
Heat,3,3,VB_Alg2,Drift,u_xx,1.0,1.00912,0.9,0.00019884080118673112,1.0,True
Heat,3,3,VB_Alg1,Drift,1,,-0.002533,,3.0383975794062123e-05,1.0,False
Heat,3,3,VB_Alg1,Drift,u,,-0.088264,,0.004001922608065436,1.0,False
Heat,3,3,VB_Alg1,Drift,u^2,,0.10769,,0.012397331868008414,1.0,False
Heat,3,3,VB_Alg1,Drift,u^3,,0.068391,,0.007021886644326292,0.9999999999994309,False
Heat,3,3,VB_Alg1,Drift,u_xx,1.0,0.995366,-0.5,0.0003883068522618078,1.0,True
Heat,3,3,VB_Alg1,Drift,u^2u_xx,,-0.033491,,0.0063034595314186695,1.0,False
Heat,3,3,VB_Alg1,Drift,u^3u_xx,,0.069311,,0.004494753402130091,1.0,False
Heat,3,3,SINDy,Diffusion,1,1.0,0.97866,-2.1,,,True
Heat,3,3,VB_Alg2,Diffusion,1,1.0,0.969478,-3.1,1.2711864223957023e-06,1.0,True
Heat,3,3,VB_Alg2,Diffusion,u^2,,-0.013574,,4.979186401633447e-06,1.0,False
Heat,3,3,VB_Alg2,Diffusion,u^3,,0.005484,,2.211304799625333e-06,0.9999999968813884,False
Heat,3,3,VB_Alg2,Diffusion,uu_xx,,-0.024171,,8.012839561620734e-06,1.0,False
